0.21952,0.40288
0.63725,0.95584
0.58133,0.09901
0.35355,0.30654
0.01126,0.58391
0.10785,0.67720
0.53883,0.10327
0.16969,0.17104
0.30698,0.60753
0.75992,0.24318
0.88432,0.92951
0.44522,0.52220
0.66134,0.13474
0.51436,0.66755
0.57129,0.46451
0.65484,0.19278
0.09242,0.04282
0.61489,0.79831
0.25828,0.26171
0.19282,0.78304
0.96965,0.88082
0.18973,0.34720
0.43945,0.47997
0.68862,0.88609
0.51567,0.63283
0.81628,0.78571
0.06549,0.55484
0.03116,0.45345
0.34897,0.71886
0.44498,0.37612
0.39789,0.79950
0.31240,0.48307
0.44660,0.94445
0.99629,0.11210
0.16063,0.00955
0.96231,0.92174
0.77590,0.65909
0.78322,0.58895
0.82652,0.08830
0.49465,0.93276
0.87283,0.84620
0.96803,0.14917
0.16064,0.05932
0.79175,0.37250
0.07427,0.24154
0.10909,0.22760
0.43819,0.35259
0.67547,0.41491
0.60644,0.68355
0.20923,0.86003
0.93750,0.61387
0.56038,0.53424
0.83820,0.17461
0.15680,0.68226
0.63493,0.26738
0.43054,0.10345
0.36388,0.85296
0.95815,0.56915
0.53541,0.47702
0.08374,0.00426
0.88820,0.11160
0.60950,0.21828
0.99061,0.97040
0.32839,0.65292
0.23679,0.67323
0.36008,0.98071
0.10273,0.08743
0.37053,0.09182
0.76736,0.54655
0.26624,0.54975
0.62897,0.00471
0.32125,0.24547
0.17164,0.23434
0.79977,0.49955
0.19299,0.61901
0.77613,0.61385
0.08474,0.46802
0.66335,0.25351
0.65558,0.82392
0.10282,0.08081
0.01163,0.18234
0.44491,0.59138
0.87797,0.96527
0.91610,0.32268
0.00508,0.63966
0.73979,0.62946
0.55221,0.43543
0.02943,0.41676
0.62771,0.21547
0.82659,0.50506
0.49969,0.63053
0.52405,0.59349
0.23168,0.52308
0.22283,0.92849
0.08495,0.60215
0.58017,0.45992
0.35522,0.03209
0.03660,0.69886
0.09210,0.26076
0.30067,0.19125
0.45657,0.07670
0.99098,0.06804
0.41856,0.85733
0.11537,0.21991
