 0	499
 1	984
 2	1007
 3	1005
 4	1018
 5	1029
 6	979
 7	1022
 8	1037
 9	1035
10	1024
11	956
12	1044
13	997
14	1019
15	1024
16	996
17	994
18	989
19	1007
20	949
21	1036
22	1062
23	991
24	1019
25	1006
26	978
27	1004
28	996
29	981
30	987
31	985
32	935
33	970
34	1019
35	989
36	962
37	1018
38	986
39	988
40	996
41	996
42	1011
43	967
44	974
45	924
46	1027
47	998
48	1019
49	1046
50	1063
51	975
52	1055
53	1031
54	985
55	1048
56	977
57	924
58	1052
59	963
60	1048
61	947
62	1005
63	1028
64	986
65	977
66	1003
67	984
68	942
69	1012
70	1027
71	960
72	1031
73	971
74	958
75	986
76	1041
77	1033
78	1043
79	1015
80	1038
81	966
82	979
83	1000
84	1008
85	1012
86	1013
87	1014
88	969
89	980
90	973
91	997
92	1063
93	955
94	995
95	1007
96	994
97	972
98	977
99	1033
100	501
