 0	495
 1	989
 2	925
 3	1069
 4	1012
 5	1012
 6	998
 7	1011
 8	1006
 9	1035
10	990
11	1014
12	1005
13	999
14	988
15	1027
16	983
17	1021
18	942
19	1063
20	1022
21	974
22	1022
23	1010
24	1002
25	984
26	1009
27	1017
28	1005
29	1010
30	987
31	958
32	1029
33	991
34	1014
35	921
36	986
37	973
38	1026
39	1021
40	1001
41	992
42	974
43	992
44	1028
45	1014
46	945
47	997
48	1042
49	1019
50	933
51	978
52	983
53	992
54	1028
55	999
56	959
57	1034
58	994
59	1012
60	1002
61	957
62	993
63	970
64	966
65	1067
66	982
67	996
68	1023
69	968
70	1000
71	1057
72	1051
73	1048
74	981
75	936
76	993
77	1074
78	975
79	1003
80	1064
81	1014
82	996
83	977
84	987
85	974
86	980
87	995
88	983
89	1056
90	964
91	1046
92	1007
93	1017
94	1000
95	941
96	962
97	1033
98	1022
99	973
100	506
