 0	508
 1	1004
 2	1008
 3	1032
 4	966
 5	999
 6	977
 7	970
 8	1041
 9	1003
10	995
11	1001
12	1039
13	990
14	993
15	982
16	1062
17	980
18	1006
19	1029
20	1046
21	993
22	994
23	1059
24	1016
25	1030
26	980
27	1017
28	952
29	1028
30	1037
31	1004
32	1024
33	1001
34	981
35	1083
36	950
37	994
38	974
39	977
40	986
41	1007
42	939
43	980
44	962
45	1033
46	976
47	974
48	997
49	1030
50	1083
51	1027
52	921
53	992
54	997
55	985
56	969
57	987
58	974
59	962
60	1083
61	1020
62	1035
63	1028
64	1010
65	1033
66	1023
67	939
68	984
69	1015
70	999
71	965
72	1000
73	1030
74	975
75	958
76	968
77	988
78	992
79	965
80	1058
81	1012
82	1009
83	936
84	1052
85	1019
86	1019
87	985
88	1024
89	929
90	999
91	1004
92	974
93	988
94	1001
95	981
96	979
97	1007
98	1023
99	1013
100	472
