 0	491
 1	970
 2	1001
 3	976
 4	1007
 5	1012
 6	992
 7	1036
 8	1023
 9	986
10	955
11	973
12	975
13	1040
14	1022
15	953
16	1004
17	953
18	1002
19	981
20	979
21	989
22	989
23	966
24	995
25	989
26	1008
27	1032
28	984
29	974
30	987
31	1014
32	929
33	1030
34	1009
35	1029
36	965
37	998
38	1039
39	1005
40	1013
41	985
42	1022
43	989
44	1013
45	1021
46	1026
47	1006
48	999
49	1044
50	1024
51	1009
52	1056
53	978
54	998
55	978
56	1032
57	1051
58	942
59	993
60	991
61	1066
62	969
63	995
64	998
65	989
66	980
67	946
68	1003
69	996
70	953
71	950
72	974
73	1033
74	1041
75	952
76	1027
77	996
78	1055
79	1010
80	1004
81	1001
82	1068
83	992
84	1012
85	1000
86	1083
87	994
88	1031
89	1001
90	946
91	1018
92	983
93	1017
94	976
95	1017
96	985
97	1016
98	985
99	1003
100	503
